[2025-03-16T02:31:24.685819] Added Carrot at (5, 0).
[2025-03-16T02:31:39.812328] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:39.812622] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:39.812797] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:39.812967] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:39.813208] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:39.813389] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:39.813557] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:39.813710] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:39.813856] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:39.814036] Sunlight is available. No need for artificial lighting.
[2025-03-16T02:31:39.814194] Lavender at (0,0) growth hours: 0/12
[2025-03-16T02:31:39.814344] Lettuce at (0,1) growth hours: 0/6
[2025-03-16T02:31:39.814483] Lettuce at (0,3) growth hours: 0/6
[2025-03-16T02:31:39.814625] Lavender at (0,5) growth hours: 0/12
[2025-03-16T02:31:39.814780] Eggplant at (1,3) growth hours: 48/72
[2025-03-16T02:31:39.814923] Corn at (1,5) growth hours: 0/12
[2025-03-16T02:31:39.815067] Corn at (2,0) growth hours: 0/12
[2025-03-16T02:31:39.815207] Eggplant at (2,1) growth hours: 48/72
[2025-03-16T02:31:39.815355] Eggplant at (2,4) growth hours: 48/72
[2025-03-16T02:31:39.815496] Pumpkin at (3,1) growth hours: 0/14
[2025-03-16T02:31:39.815633] Lettuce at (4,5) growth hours: 0/6
[2025-03-16T02:31:39.815776] Carrot at (5,0) growth hours: 0/7
[2025-03-16T02:31:39.815910] Carrot at (5,2) growth hours: 0/7
[2025-03-16T02:31:39.816064] Eggplant at (5,3) growth hours: 48/72
[2025-03-16T02:31:39.816462] Lavender at (5,5) growth hours: 0/12
[2025-03-16T02:31:39.816612] Corn at (6,0) growth hours: 0/12
[2025-03-16T02:31:39.816761] Eggplant at (6,2) growth hours: 48/72
[2025-03-16T02:31:39.816903] Corn at (6,3) growth hours: 0/12
[2025-03-16T02:31:39.817046] Carrot at (6,5) growth hours: 0/7
[2025-03-16T02:31:39.817190] Carrot at (7,2) growth hours: 0/7
[2025-03-16T02:31:39.817333] Eggplant at (7,3) growth hours: 48/72
[2025-03-16T02:31:39.817476] Pumpkin at (7,4) growth hours: 0/14
[2025-03-16T02:31:39.817619] Eggplant at (7,5) growth hours: 48/72
[2025-03-16T02:31:39.817752] Harvesting system activated.
[2025-03-16T02:31:40.805180] Water evaporated. Remaining water: 92000 ml.
[2025-03-16T02:31:40.805388] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:40.805821] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:40.805951] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:40.806103] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:40.806273] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:40.806413] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:40.806527] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:40.806644] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:40.806759] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:40.806865] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:40.807017] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:40.807150] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:40.807283] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:40.807403] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:40.807525] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:40.807686] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:40.807839] Harvesting system activated.
[2025-03-16T02:31:41.805440] Water evaporated. Remaining water: 91500 ml.
[2025-03-16T02:31:41.806028] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:41.806357] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:41.806582] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:41.806781] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:41.806987] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:41.807187] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:41.807506] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:41.807733] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:41.807915] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:41.808091] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:41.808262] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:41.808437] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:41.808638] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:41.808789] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:41.808933] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:41.809070] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:41.809310] Harvesting system activated.
[2025-03-16T02:31:42.805525] Water evaporated. Remaining water: 91000 ml.
[2025-03-16T02:31:42.806237] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:42.806530] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:42.806721] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:42.806896] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:42.807076] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:42.807253] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:42.807428] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:42.807605] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:42.807773] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:42.807949] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:42.808123] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:42.808289] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:42.808462] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:42.808629] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:42.808804] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:42.808971] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:42.809162] Harvesting system activated.
[2025-03-16T02:31:43.805156] Water evaporated. Remaining water: 90500 ml.
[2025-03-16T02:31:43.805357] Sun has set. Turning on artificial lights.
[2025-03-16T02:31:43.805552] Lighting system activated at (0,0) for Lavender
[2025-03-16T02:31:43.805697] Lighting system activated at (0,1) for Lettuce
[2025-03-16T02:31:43.805879] Lighting system activated at (0,3) for Lettuce
[2025-03-16T02:31:43.806037] Lighting system activated at (0,5) for Lavender
[2025-03-16T02:31:43.806169] Lighting system activated at (1,3) for Eggplant
[2025-03-16T02:31:43.806344] Lighting system activated at (1,5) for Corn
[2025-03-16T02:31:43.806465] Lighting system activated at (2,0) for Corn
[2025-03-16T02:31:43.806570] Lighting system activated at (2,1) for Eggplant
[2025-03-16T02:31:43.806667] Lighting system activated at (2,4) for Eggplant
[2025-03-16T02:31:43.806834] Lighting system activated at (3,1) for Pumpkin
[2025-03-16T02:31:43.806958] Lighting system activated at (4,5) for Lettuce
[2025-03-16T02:31:43.807070] Lighting system activated at (5,0) for Carrot
[2025-03-16T02:31:43.807184] Lighting system activated at (5,2) for Carrot
[2025-03-16T02:31:43.807309] Lighting system activated at (5,3) for Eggplant
[2025-03-16T02:31:43.807415] Lighting system activated at (5,5) for Lavender
[2025-03-16T02:31:43.807515] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:43.807636] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:43.807734] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:43.807870] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:43.807999] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:43.808137] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:43.808315] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:43.808440] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:43.808558] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:43.808713] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:43.808884] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:43.809011] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:43.809127] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:43.809226] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:43.809333] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:43.809433] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:43.809577] Harvesting system activated.
[2025-03-16T02:31:44.805337] Water evaporated. Remaining water: 90000 ml.
[2025-03-16T02:31:44.805844] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:44.806127] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:44.806319] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:44.806489] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:44.806663] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:44.806835] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:44.806999] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:44.807168] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:44.807336] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:44.807499] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:44.807675] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:44.807804] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:44.807937] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:44.808099] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:44.808290] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:44.808480] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:44.808701] Harvesting system activated.
[2025-03-16T02:31:44.809174] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:44.809332] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:44.809502] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:44.809650] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:44.809800] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:44.809956] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:44.810100] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:44.810249] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:44.810397] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:44.810540] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:44.810693] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:44.810840] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:44.810983] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:44.811132] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:44.811276] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:44.811423] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:44.811618] Sun has set. Turning on artificial lights.
[2025-03-16T02:31:44.811766] Lighting system activated at (0,0) for Lavender
[2025-03-16T02:31:44.811892] Lighting system activated at (0,1) for Lettuce
[2025-03-16T02:31:44.812011] Lighting system activated at (0,3) for Lettuce
[2025-03-16T02:31:44.812157] Lighting system activated at (0,5) for Lavender
[2025-03-16T02:31:44.812286] Lighting system activated at (1,3) for Eggplant
[2025-03-16T02:31:44.812405] Lighting system activated at (1,5) for Corn
[2025-03-16T02:31:44.812551] Lighting system activated at (2,0) for Corn
[2025-03-16T02:31:44.812670] Lighting system activated at (2,1) for Eggplant
[2025-03-16T02:31:44.812795] Lighting system activated at (2,4) for Eggplant
[2025-03-16T02:31:44.812930] Lighting system activated at (3,1) for Pumpkin
[2025-03-16T02:31:44.813061] Lighting system activated at (4,5) for Lettuce
[2025-03-16T02:31:44.813298] Lighting system activated at (5,0) for Carrot
[2025-03-16T02:31:44.813430] Lighting system activated at (5,2) for Carrot
[2025-03-16T02:31:44.813570] Lighting system activated at (5,3) for Eggplant
[2025-03-16T02:31:44.813727] Lighting system activated at (5,5) for Lavender
[2025-03-16T02:31:44.813932] Lavender at (0,0) growth hours: 0/12
[2025-03-16T02:31:44.814088] Lettuce at (0,1) growth hours: 0/6
[2025-03-16T02:31:44.814280] Lettuce at (0,3) growth hours: 0/6
[2025-03-16T02:31:44.814454] Lavender at (0,5) growth hours: 0/12
[2025-03-16T02:31:44.814601] Eggplant at (1,3) growth hours: 48/72
[2025-03-16T02:31:44.814751] Corn at (1,5) growth hours: 0/12
[2025-03-16T02:31:44.814895] Corn at (2,0) growth hours: 0/12
[2025-03-16T02:31:44.815030] Eggplant at (2,1) growth hours: 48/72
[2025-03-16T02:31:44.815173] Eggplant at (2,4) growth hours: 48/72
[2025-03-16T02:31:44.815309] Pumpkin at (3,1) growth hours: 0/14
[2025-03-16T02:31:44.815451] Lettuce at (4,5) growth hours: 0/6
[2025-03-16T02:31:44.815593] Carrot at (5,0) growth hours: 0/7
[2025-03-16T02:31:44.815740] Carrot at (5,2) growth hours: 0/7
[2025-03-16T02:31:44.815877] Eggplant at (5,3) growth hours: 48/72
[2025-03-16T02:31:44.816017] Lavender at (5,5) growth hours: 0/12
[2025-03-16T02:31:44.816156] Corn at (6,0) growth hours: 0/12
[2025-03-16T02:31:44.816294] Eggplant at (6,2) growth hours: 48/72
[2025-03-16T02:31:44.816436] Corn at (6,3) growth hours: 0/12
[2025-03-16T02:31:44.816575] Carrot at (6,5) growth hours: 0/7
[2025-03-16T02:31:44.816707] Carrot at (7,2) growth hours: 0/7
[2025-03-16T02:31:44.816845] Eggplant at (7,3) growth hours: 48/72
[2025-03-16T02:31:44.816989] Pumpkin at (7,4) growth hours: 0/14
[2025-03-16T02:31:44.817121] Eggplant at (7,5) growth hours: 48/72
[2025-03-16T02:31:44.817242] Harvesting system activated.
[2025-03-16T02:31:45.789627] Water evaporated. Remaining water: 89500 ml.
[2025-03-16T02:31:45.790203] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:45.790704] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:45.790943] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:45.791144] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:45.791330] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:45.791518] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:45.791702] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:45.791886] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:45.792063] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:45.792239] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:45.792422] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:45.792603] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:45.792777] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:45.792978] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:45.793128] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:45.793278] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:45.793577] Harvesting system activated.
[2025-03-16T02:31:46.805998] Water evaporated. Remaining water: 89000 ml.
[2025-03-16T02:31:46.806263] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:46.806440] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:46.806688] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:46.806873] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:46.807022] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:46.807215] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:46.807322] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:46.807416] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:46.807844] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:46.808017] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:46.808189] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:46.808434] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:46.808606] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:46.808757] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:46.808863] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:46.808991] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:46.809184] Harvesting system activated.
[2025-03-16T02:31:47.805661] Water evaporated. Remaining water: 88500 ml.
[2025-03-16T02:31:47.806229] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:47.806604] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:47.806803] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:47.806978] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:47.807158] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:47.807334] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:47.807664] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:47.807893] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:47.808089] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:47.808268] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:47.808451] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:47.808627] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:47.808808] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:47.808985] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:47.809155] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:47.809331] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:47.809547] Harvesting system activated.
[2025-03-16T02:31:48.805216] Water evaporated. Remaining water: 88000 ml.
[2025-03-16T02:31:48.805506] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:48.805973] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:48.806156] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:48.806312] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:48.806451] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:48.806593] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:48.806742] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:48.806884] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:48.807034] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:48.807165] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:48.807310] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:48.807455] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:48.807586] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:48.807729] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:48.807939] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:48.808133] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:48.808360] Harvesting system activated.
[2025-03-16T02:31:49.789530] Water evaporated. Remaining water: 87500 ml.
[2025-03-16T02:31:49.790113] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:49.790704] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:49.791061] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:49.791389] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:49.791628] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:49.791820] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:49.792009] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:49.792189] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:49.792375] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:49.792568] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:49.792750] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:49.792943] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:49.793116] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:49.793398] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:49.793578] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:49.793760] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:49.794009] Harvesting system activated.
[2025-03-16T02:31:49.794485] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:49.794665] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:49.794831] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:49.794987] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:49.795146] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:49.795296] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:49.795453] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:49.795595] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:49.795760] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:49.795915] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:49.796072] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:49.796250] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:49.796397] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:49.796544] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:49.796690] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:49.796832] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:49.797036] Sun has set. Turning on artificial lights.
[2025-03-16T02:31:49.797187] Lighting system activated at (0,0) for Lavender
[2025-03-16T02:31:49.797335] Lighting system activated at (0,1) for Lettuce
[2025-03-16T02:31:49.797482] Lighting system activated at (0,3) for Lettuce
[2025-03-16T02:31:49.797671] Lighting system activated at (0,5) for Lavender
[2025-03-16T02:31:49.797821] Lighting system activated at (1,3) for Eggplant
[2025-03-16T02:31:49.797967] Lighting system activated at (1,5) for Corn
[2025-03-16T02:31:49.798125] Lighting system activated at (2,0) for Corn
[2025-03-16T02:31:49.798284] Lighting system activated at (2,1) for Eggplant
[2025-03-16T02:31:49.798434] Lighting system activated at (2,4) for Eggplant
[2025-03-16T02:31:49.798582] Lighting system activated at (3,1) for Pumpkin
[2025-03-16T02:31:49.798724] Lighting system activated at (4,5) for Lettuce
[2025-03-16T02:31:49.798869] Lighting system activated at (5,0) for Carrot
[2025-03-16T02:31:49.799012] Lighting system activated at (5,2) for Carrot
[2025-03-16T02:31:49.799168] Lighting system activated at (5,3) for Eggplant
[2025-03-16T02:31:49.799307] Lighting system activated at (5,5) for Lavender
[2025-03-16T02:31:49.799489] Lavender at (0,0) growth hours: 0/12
[2025-03-16T02:31:49.799666] Lettuce at (0,1) growth hours: 0/6
[2025-03-16T02:31:49.799830] Lettuce at (0,3) growth hours: 0/6
[2025-03-16T02:31:49.799985] Lavender at (0,5) growth hours: 0/12
[2025-03-16T02:31:49.800144] Eggplant at (1,3) growth hours: 48/72
[2025-03-16T02:31:49.800312] Corn at (1,5) growth hours: 0/12
[2025-03-16T02:31:49.800477] Corn at (2,0) growth hours: 0/12
[2025-03-16T02:31:49.800638] Eggplant at (2,1) growth hours: 48/72
[2025-03-16T02:31:49.800794] Eggplant at (2,4) growth hours: 48/72
[2025-03-16T02:31:49.800961] Pumpkin at (3,1) growth hours: 0/14
[2025-03-16T02:31:49.801117] Lettuce at (4,5) growth hours: 0/6
[2025-03-16T02:31:49.801280] Carrot at (5,0) growth hours: 0/7
[2025-03-16T02:31:49.801439] Carrot at (5,2) growth hours: 0/7
[2025-03-16T02:31:49.801596] Eggplant at (5,3) growth hours: 48/72
[2025-03-16T02:31:49.801756] Lavender at (5,5) growth hours: 0/12
[2025-03-16T02:31:49.801921] Corn at (6,0) growth hours: 0/12
[2025-03-16T02:31:49.802089] Eggplant at (6,2) growth hours: 48/72
[2025-03-16T02:31:49.802248] Corn at (6,3) growth hours: 0/12
[2025-03-16T02:31:49.802400] Carrot at (6,5) growth hours: 0/7
[2025-03-16T02:31:49.802563] Carrot at (7,2) growth hours: 0/7
[2025-03-16T02:31:49.802715] Eggplant at (7,3) growth hours: 48/72
[2025-03-16T02:31:49.802964] Pumpkin at (7,4) growth hours: 0/14
[2025-03-16T02:31:49.803135] Eggplant at (7,5) growth hours: 48/72
[2025-03-16T02:31:49.803265] Harvesting system activated.
[2025-03-16T02:31:50.789465] Water evaporated. Remaining water: 87000 ml.
[2025-03-16T02:31:50.790026] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:50.790721] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:50.791020] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:50.791221] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:50.791422] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:50.791613] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:50.791795] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:50.791986] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:50.792157] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:50.792344] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:50.792512] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:50.792694] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:50.792875] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:50.793048] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:50.793246] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:50.793493] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:50.793723] Harvesting system activated.
[2025-03-16T02:31:51.805161] Water evaporated. Remaining water: 86500 ml.
[2025-03-16T02:31:51.805491] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:51.805983] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:51.806170] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:51.806334] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:51.806477] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:51.806638] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:51.806781] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:51.806945] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:51.807107] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:51.807247] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:51.807415] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:51.807536] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:51.807708] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:51.807866] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:51.808046] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:51.808206] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:51.808380] Harvesting system activated.
[2025-03-16T02:31:52.805576] Water evaporated. Remaining water: 86000 ml.
[2025-03-16T02:31:52.806140] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:52.806626] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:52.806851] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:52.807054] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:52.807257] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:52.807443] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:52.807643] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:52.807819] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:52.808003] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:52.808192] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:52.808364] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:52.808546] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:52.808758] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:52.808942] Watering system activated at (6,5) for Carrot
